VCD info: dumpfile out.vcd opened for output.
                   0<<starting>>
                 122clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 123clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 124clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 125clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 126clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 127clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 128clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 129clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 130clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 131clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 132clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 133clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 134clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 135clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 136clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 137clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 138clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 139clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 140clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 141clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 142clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 143clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 144clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 145clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 146clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 147clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 148clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 149clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 150clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 151clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 152clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 153clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 154clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 155clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 156clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 157clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 158clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 159clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 160clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 161clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 162clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 163clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 164clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 165clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 166clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 167clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 168clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 169clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 170clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 171clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 172clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 173clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 174clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 175clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 176clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 177clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 178clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 179clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 180clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 181clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 182clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 183clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 184clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 185clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 186clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 187clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 188clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 189clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 190clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 191clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 192clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 193clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 194clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 195clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 196clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 197clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 198clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 199clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 200clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 201clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 202clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 203clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
